DISTRICT,CO,CDS,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark
Western Placer Unified,31,66951,"69,186,158","6,672.1","10,370",Unified                  ,745,189,154,1,155,82.01,99,1,100,52.91,98,51.85
Wheatland Union High,58,72769,"8,445,348",725.7,"11,637",High                     ,145,55,43,0,43,78.18,33,0,33,60.00,31,56.36
Whittier Union High,19,65128,"151,583,565","11,269.1","13,451",High                     ,3192,1508,1077,0,1077,71.42,731,0,731,48.47,667,44.23
William S. Hart Union High,19,65136,"225,873,882","21,522.1","10,495",High                     ,4357,1985,1779,5,1784,89.87,1367,5,1372,69.12,1348,67.91
Williams Unified,6,61622,"14,591,370","1,248.9","11,683",Unified                  ,98,39,17,0,17,43.59,6,0,6,15.38,5,12.82
Willits Unified,23,65623,"19,074,492","1,410.5","13,524",Unified                  ,140,38,26,0,26,68.42,17,0,17,44.74,17,44.74
Willows Unified,11,62661,"13,007,961","1,372.5","9,478",Unified                  ,113,32,25,0,25,78.13,15,0,15,46.88,15,46.88
Windsor Unified,49,75358,"42,600,097","3,741.4","11,386",Unified                  ,449,141,117,0,117,82.98,67,0,67,47.52,64,45.39
Winters Joint Unified,57,72702,"17,297,066","1,456.5","11,876",Unified                  ,130,48,37,0,37,77.08,24,0,24,50.00,23,47.92
Wiseburn Unified,19,76869,"26,316,486","2,440.6","10,783",Unified                  ,429,214,169,0,169,78.97,111,0,111,51.87,106,49.53
Woodlake Unified,54,76794,"25,462,900","2,042.0","12,470",Unified                  ,158,43,27,0,27,62.79,16,0,16,37.21,15,34.88
Woodland Joint Unified,57,72710,"109,900,402","9,352.1","11,751",Unified                  ,732,282,192,0,192,68.09,116,0,116,41.13,106,37.59
Yosemite Unified,20,76414,"17,989,023","1,590.2","11,312",Unified                  ,223,90,74,0,74,82.22,50,0,50,55.56,49,54.44
Yreka Union High,47,70516,"8,416,421",551.3,"15,266",High                     ,135,51,39,0,39,76.47,21,0,21,41.18,21,41.18
Yuba City Unified,51,71464,"139,372,665","11,785.6","11,826",Unified                  ,959,267,209,1,210,78.65,143,1,144,53.93,138,51.69
Yucaipa-Calimesa Joint Unified,36,67959,"87,542,068","8,006.8","10,933",Unified                  ,773,336,276,0,276,82.14,211,0,211,62.80,203,60.42
