DISTRICT,CO,CDS,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark
Eastern Sierra Unified,26,73668,"9,497,335",390.9,"24,299",Unified                  ,20,18,12,0,12,66.67,7,0,7,38.89,7,38.89
El Dorado Union High,9,61853,"71,521,973","6,273.1","11,401",High                     ,1630,771,700,2,702,91.05,639,2,641,83.14,614,79.64
El Monte Union High,19,64519,"119,220,411","8,376.4","14,233",High                     ,2309,1836,993,0,993,54.08,650,0,650,35.40,581,31.64
El Rancho Unified,19,64527,"93,952,601","8,239.9","11,402",Unified                  ,728,398,253,0,253,63.57,159,0,159,39.95,149,37.44
El Segundo Unified,19,64535,"36,577,956","3,371.2","10,850",Unified                  ,275,169,162,0,162,95.86,132,0,132,78.11,132,78.11
El Tejon Unified,15,75168,"8,038,408",651.9,"12,330",Unified                  ,79,23,18,0,18,78.26,10,0,10,43.48,10,43.48
Elk Grove Unified,34,67314,"661,563,883","59,748.8","11,072",Unified                  ,4915,2623,2061,3,2064,78.69,1585,3,1588,60.54,1503,57.30
Emery Unified,1,61168,"11,468,178",646.0,"17,754",Unified                  ,39,25,13,0,13,52.00,6,0,6,24.00,6,24.00
Escalon Unified,39,68502,"24,966,773","2,488.2","10,034",Unified                  ,207,74,65,0,65,87.84,48,0,48,64.86,47,63.51
Escondido Union High,37,68106,"91,663,311","7,015.2","13,066",High                     ,2425,1098,856,2,858,78.14,573,1,574,52.28,552,50.27
Esparto Unified,57,72686,"10,700,299",876.5,"12,208",Unified                  ,80,51,26,0,26,50.98,14,0,14,27.45,14,27.45
Exeter Unified,54,76836,"29,299,289","2,685.6","10,910",Unified                  ,273,66,53,0,53,80.30,26,0,26,39.39,26,39.39
Fairfield-Suisun Unified,48,70540,"208,430,635","20,576.8","10,129",Unified                  ,1622,550,431,0,431,78.36,295,0,295,53.64,277,50.36
Fall River Joint Unified,45,69989,"14,416,768","1,102.4","13,078",Unified                  ,77,24,23,0,23,95.83,22,0,22,91.67,21,87.50
Fallbrook Union High,37,68122,"28,408,432","2,034.6","13,963",High                     ,542,184,133,0,133,72.28,94,0,94,51.09,88,47.83
Farmersville Unified,54,75325,"30,294,612","2,395.1","12,649",Unified                  ,206,70,18,0,18,25.71,3,0,3,4.29,3,4.29
Fillmore Unified,56,72454,"43,580,211","3,588.2","12,146",Unified                  ,273,93,61,0,61,65.59,47,0,47,50.54,40,43.01
Firebaugh-Las Deltas Unified,10,73809,"27,694,504","2,179.8","12,705",Unified                  ,169,83,35,0,35,42.17,9,0,9,10.84,8,9.64
Folsom-Cordova Unified,34,67330,"208,367,798","19,356.3","10,765",Unified                  ,1553,663,607,3,610,92.01,546,3,549,82.81,535,80.69
Fontana Unified,36,67710,"427,721,458","35,572.9","12,024",Unified                  ,3111,1229,754,0,754,61.35,387,0,387,31.49,352,28.64
Fort Bragg Unified,23,65565,"21,463,854","1,684.6","12,741",Unified                  ,140,61,50,0,50,81.97,32,0,32,52.46,32,52.46
Fortuna Union High,12,62810,"12,517,768",986.8,"12,685",High                     ,242,82,65,0,65,79.27,43,0,43,52.44,40,48.78
Fowler Unified,10,62158,"28,644,859","2,498.9","11,463",Unified                  ,191,111,61,0,61,54.95,24,0,24,21.62,20,18.02
Fremont Unified,1,61176,"361,573,564","34,247.1","10,558",Unified                  ,2686,1716,1595,31,1626,94.76,1466,31,1497,87.24,1473,85.84
Fremont Union High,43,69468,"152,089,367","10,701.3","14,212",High                     ,2745,1731,1628,38,1666,96.24,1559,38,1597,92.26,1581,91.33
Fresno Unified,10,62166,"865,445,277","66,400.9","13,034",Unified                  ,4647,3272,1600,3,1603,48.99,806,2,808,24.69,727,22.22
Fullerton Joint Union High,30,66514,"147,014,641","13,208.5","11,130",High                     ,3611,1828,1545,16,1561,85.39,1319,16,1335,73.03,1287,70.40
Galt Joint Union High,34,67355,"25,551,894","2,021.5","12,640",High                     ,546,186,135,0,135,72.58,103,0,103,55.38,98,52.69
Garden Grove Unified,30,66522,"501,285,224","41,695.9","12,022",Unified                  ,3785,2209,1695,2,1697,76.82,1294,1,1295,58.62,1208,54.69
Gateway Unified,45,75267,"28,691,067","2,140.9","13,401",Unified                  ,182,47,32,0,32,68.09,16,0,16,34.04,16,34.04
Gilroy Unified,43,69484,"121,939,092","10,610.4","11,492",Unified                  ,919,396,320,1,321,81.06,230,0,230,58.08,222,56.06
Glendale Unified,19,64568,"294,016,618","25,121.0","11,704",Unified                  ,2071,916,808,5,813,88.76,696,5,701,76.53,674,73.58
Glendora Unified,19,64576,"76,250,695","7,188.7","10,607",Unified                  ,733,405,362,0,362,89.38,313,0,313,77.28,299,73.83
Golden Plains Unified,10,75234,"22,723,900","1,593.7","14,258",Unified                  ,91,47,17,0,17,36.17,7,0,7,14.89,7,14.89
Golden Valley Unified,20,75580,"19,334,798","1,881.0","10,279",Unified                  ,142,63,53,0,53,84.13,30,0,30,47.62,29,46.03
Gonzales Unified,27,75473,"29,003,295","2,261.4","12,826",Unified                  ,209,85,51,1,52,61.18,22,1,23,27.06,20,23.53
Gorman Joint,19,64584,"1,167,305",75.7,"15,424",Elementary               ,212,23,17,0,17,73.91,10,0,10,43.48,10,43.48
Gridley Unified,4,75507,"20,497,499","1,933.3","10,603",Unified                  ,143,40,36,0,36,90.00,31,0,31,77.50,28,70.00
Grossmont Union High,37,68130,"210,836,231","15,571.9","13,540",High                     ,5405,2261,1816,1,1817,80.36,1413,0,1413,62.49,1347,59.58
Gustine Unified,24,73619,"19,209,428","1,746.7","10,998",Unified                  ,147,66,42,0,42,63.64,16,0,16,24.24,16,24.24
Hamilton Unified,11,76562,"7,471,979",677.5,"11,028",Unified                  ,70,25,18,0,18,72.00,11,0,11,44.00,11,44.00
Hanford Joint Union High,16,63925,"40,885,640","3,547.1","11,527",High                     ,853,250,177,0,177,70.80,116,0,116,46.40,108,43.20
Hayward Unified,1,61192,"249,986,063","19,355.4","12,916",Unified                  ,1655,709,463,0,463,65.30,297,0,297,41.89,278,39.21
Healdsburg Unified,49,75390,"22,030,178","1,453.5","15,156",Unified                  ,149,62,50,0,50,80.65,37,0,37,59.68,36,58.06
Helendale Elementary,36,67736,"6,293,404",621.3,"10,130",Elementary               ,207,42,31,0,31,73.81,14,0,14,33.33,14,33.33
Hemet Unified,33,67082,"265,095,793","20,001.3","13,254",Unified                  ,1835,1227,579,0,579,47.19,283,0,283,23.06,268,21.84
Hesperia Unified,36,75044,"231,185,965","20,488.4","11,284",Unified                  ,2009,685,441,0,441,64.38,262,0,262,38.25,239,34.89
Hilmar Unified,24,65698,"24,552,775","2,254.2","10,892",Unified                  ,162,64,41,0,41,64.06,22,0,22,34.38,22,34.38
Holtville Unified,13,63149,"18,447,405","1,501.4","12,287",Unified                  ,138,52,34,0,34,65.38,18,0,18,34.62,17,32.69
Hughson Unified,50,75549,"22,341,720","1,967.9","11,353",Unified                  ,151,65,54,0,54,83.08,32,0,32,49.23,30,46.15
Huntington Beach Union High,30,66548,"182,608,039","15,377.5","11,875",High                     ,4136,2080,1855,3,1858,89.33,1626,3,1629,78.32,1567,75.34
Imperial Unified,13,63164,"40,922,429","4,047.6","10,110",Unified                  ,262,94,73,0,73,77.66,43,0,43,45.74,42,44.68
Inglewood Unified,19,64634,"117,597,186","8,781.6","13,391",Unified                  ,734,374,177,0,177,47.33,91,0,91,24.33,77,20.59
Irvine Unified,30,73650,"353,385,092","33,642.1","10,504",Unified                  ,2474,1159,1088,39,1127,97.24,1029,40,1069,92.23,1055,91.03
Jefferson Union High,41,68924,"52,657,509","4,174.1","12,615",High                     ,1292,645,535,1,536,83.10,441,1,442,68.53,425,65.89
John Swett Unified,7,61697,"17,807,508","1,419.4","12,546",Unified                  ,145,56,32,0,32,57.14,31,0,31,55.36,26,46.43
Julian Union Elementary,37,68163,"5,451,295",286.4,"19,033",Elementary               ,196,29,23,0,23,79.31,15,0,15,51.72,14,48.28
Jurupa Unified,33,67090,"214,270,745","18,209.9","11,767",Unified                  ,1421,552,347,0,347,62.86,194,0,194,35.14,179,32.43
Kelseyville Unified,17,64014,"19,636,158","1,561.9","12,572",Unified                  ,134,64,43,0,43,67.19,22,0,22,34.38,20,31.25
Kerman Unified,10,73999,"51,323,155","4,926.8","10,417",Unified                  ,368,172,113,0,113,65.70,49,0,49,28.49,45,26.16
Kern High,15,63529,"456,668,687","36,861.3","12,389",High                     ,9852,3454,2265,3,2268,65.66,1459,1,1460,42.27,1372,39.72
Kings Canyon Joint Unified,10,62265,"109,835,091","9,181.4","11,963",Unified                  ,679,235,160,0,160,68.09,82,0,82,34.89,76,32.34
Kingsburg Joint Union High,10,62257,"12,954,620","1,098.4","11,794",High                     ,315,126,92,0,92,73.02,73,0,73,57.94,69,54.76
Klamath-Trinity Joint Unified,12,62901,"17,773,735",908.7,"19,559",Unified                  ,63,25,15,0,15,60.00,5,0,5,20.00,4,16.00
Konocti Unified,17,64022,"40,439,101","3,133.3","12,906",Unified                  ,216,36,23,0,23,63.89,7,0,7,19.44,7,19.44
La Canada Unified,19,64659,"44,684,902","4,045.2","11,046",Unified                  ,363,191,182,4,186,97.38,179,4,183,95.81,179,93.72
Laguna Beach Unified,30,66555,"53,943,320","2,787.5","19,352",Unified                  ,268,86,82,0,82,95.35,66,0,66,76.74,65,75.58
Lake Elsinore Unified,33,75176,"230,358,769","20,215.9","11,395",Unified                  ,1590,648,496,0,496,76.54,312,0,312,48.15,290,44.75
Lake Tahoe Unified,9,61903,"44,579,280","3,595.4","12,399",Unified                  ,262,105,89,1,90,85.71,72,1,73,69.52,70,66.67
Lakeport Unified,17,64030,"16,376,829","1,420.0","11,533",Unified                  ,120,32,25,0,25,78.13,25,0,25,78.13,22,68.75
Lakeside Union Elementary,15,63552,"13,255,786","1,309.3","10,124",Elementary               ,106,37,34,1,35,94.59,27,1,28,75.68,28,75.68
Lakeside Union Elementary,16,63966,"3,548,968",311.7,"11,385",Elementary               ,106,37,34,1,35,94.59,27,1,28,75.68,28,75.68
Lakeside Union Elementary,37,68189,"53,765,039","4,952.3","10,857",Elementary               ,106,37,34,1,35,94.59,27,1,28,75.68,28,75.68
Lammersville Joint Unified,39,76760,"44,935,017","4,720.7","9,519",Unified                  ,262,148,132,1,133,89.86,94,1,95,64.19,90,60.81
Las Virgenes Unified,19,64683,"115,353,617","10,902.3","10,581",Unified                  ,1052,503,476,4,480,95.43,396,4,400,79.52,398,79.13
Lassen Union High,18,64139,"9,078,379",748.5,"12,129",High                     ,189,66,49,0,49,74.24,35,0,35,53.03,32,48.48
Lawndale Elementary,19,64691,"69,065,610","5,231.3","13,202",Elementary               ,115,117,62,0,62,52.99,33,0,33,28.21,30,25.64
Laytonville Unified,23,73916,"5,165,714",344.9,"14,976",Unified                  ,30,20,17,0,17,85.00,13,0,13,65.00,13,65.00
Le Grand Union High,24,65730,"6,896,183",473.1,"14,576",High                     ,115,48,20,0,20,41.67,10,0,10,20.83,8,16.67
Lemoore Union High,16,63982,"21,260,321","1,814.1","11,720",High                     ,516,159,118,0,118,74.21,78,0,78,49.06,74,46.54
Liberty Union High,7,61721,"82,962,944","7,746.9","10,709",High                     ,2117,923,766,0,766,82.99,479,0,479,51.90,465,50.38
Lincoln Unified,39,68569,"88,013,647","8,583.4","10,254",Unified                  ,741,238,206,0,206,86.55,150,0,150,63.03,143,60.08
Linden Unified,39,68577,"23,901,297","2,159.3","11,069",Unified                  ,153,67,61,0,61,91.04,41,0,41,61.19,41,61.19
Lindsay Unified,54,71993,"56,858,330","3,944.1","14,416",Unified                  ,294,111,54,0,54,48.65,18,0,18,16.22,16,14.41
Live Oak Unified,51,71399,"19,940,840","1,782.0","11,190",Unified                  ,134,60,42,0,42,70.00,33,0,33,55.00,28,46.67
Livermore Valley Joint Unified,1,61200,"144,176,237","13,242.9","10,887",Unified                  ,1091,531,492,0,492,92.66,414,0,414,77.97,403,75.89
Lodi Unified,39,68585,"307,299,186","27,148.1","11,319",Unified                  ,2304,819,658,0,658,80.34,534,0,534,65.20,490,59.83
Lompoc Unified,42,69229,"100,928,744","9,092.6","11,100",Unified                  ,657,184,147,0,147,79.89,99,0,99,53.80,95,51.63
Long Beach Unified,19,64725,"866,039,394","70,827.0","12,228",Unified                  ,6019,4994,2724,0,2724,54.55,1597,0,1597,31.98,1519,30.42
Loomis Union Elementary,31,66845,"22,432,509","2,437.4","9,203",Elementary               ,43,23,22,0,22,95.65,19,0,19,82.61,18,78.26
Los Alamitos Unified,30,73924,"101,405,247","9,537.4","10,632",Unified                  ,831,564,523,2,525,93.09,418,2,420,74.47,412,73.05
Los Angeles Unified,19,64733,"6,740,958,848","477,630.7","14,113",Unified                  ,42372,25633,14247,13,14260,55.63,8032,11,8043,31.38,7440,29.03
Los Banos Unified,24,65755,"115,018,239","10,286.7","11,181",Unified                  ,798,266,164,0,164,61.65,98,0,98,36.84,93,34.96
Los Gatos-Saratoga Joint Union High,43,69534,"53,230,168","3,273.6","16,260",High                     ,797,589,572,6,578,98.13,538,6,544,92.36,541,91.85
Lucerne Valley Unified,36,75051,"9,925,047",680.6,"14,583",Unified                  ,191,30,22,0,22,73.33,19,0,19,63.33,17,56.67
Lucia Mar Unified,40,68759,"110,262,122","9,992.3","11,035",Unified                  ,862,382,340,1,341,89.27,268,1,269,70.42,264,69.11
Lynwood Unified,19,64774,"161,175,645","13,313.8","12,106",Unified                  ,1133,932,323,0,323,34.66,104,0,104,11.16,91,9.76
Madera Unified,20,65243,"223,204,359","18,982.9","11,758",Unified                  ,1276,557,298,0,298,53.50,161,0,161,28.90,141,25.31
Mammoth Unified,26,73692,"13,274,183","1,137.5","11,669",Unified                  ,81,37,35,0,35,94.59,26,0,26,70.27,26,70.27
Manhattan Beach Unified,19,75333,"76,244,519","6,383.0","11,945",Unified                  ,633,326,313,1,314,96.32,287,1,288,88.34,285,87.42
Manteca Unified,39,68593,"244,552,503","22,384.5","10,925",Unified                  ,1912,688,500,0,500,72.67,311,0,311,45.20,288,41.86
Marcum-Illinois Union Elementary,51,71407,"2,115,534",149.3,"14,172",Elementary               ,139,21,19,0,19,90.48,10,0,10,47.62,10,47.62
Maricopa Unified,15,63628,"5,086,202",286.4,"17,758",Unified                  ,397,22,12,0,12,54.55,3,0,3,13.64,3,13.64
Mariposa County Unified,22,65532,"19,339,352","1,565.1","12,357",Unified                  ,100,36,31,0,31,86.11,24,0,24,66.67,23,63.89
Martinez Unified,7,61739,"42,215,022","3,982.5","10,600",Unified                  ,321,126,107,0,107,84.92,94,0,94,74.60,89,70.63
Marysville Joint Unified,58,72736,"103,835,379","9,009.7","11,525",Unified                  ,622,150,111,0,111,74.00,56,0,56,37.33,55,36.67
Mendocino Unified,23,65581,"8,017,628",471.3,"17,011",Unified                  ,54,31,28,0,28,90.32,20,0,20,64.52,19,61.29
Mendota Unified,10,75127,"33,159,964","3,246.7","10,213",Unified                  ,222,70,28,0,28,40.00,12,0,12,17.14,10,14.29
Menifee Union Elementary,33,67116,"96,328,279","9,734.5","9,896",Elementary               ,139,70,60,0,60,85.71,33,0,33,47.14,31,44.29
Merced Union High,24,65789,"120,411,735","9,886.6","12,179",High                     ,2470,892,603,0,603,67.60,339,0,339,38.00,321,35.99
Middletown Unified,17,64055,"15,543,455","1,383.0","11,239",Unified                  ,136,38,32,0,32,84.21,20,0,20,52.63,19,50.00
Milpitas Unified,43,73387,"105,122,428","10,072.3","10,437",Unified                  ,892,508,450,5,455,89.57,398,5,403,79.33,391,76.97
Modoc Joint Unified,25,73585,"8,547,131",802.5,"10,651",Unified                  ,61,15,11,0,11,73.33,8,0,8,53.33,8,53.33
Mojave Unified,15,63677,"31,764,145","2,599.4","12,220",Unified                  ,173,40,32,0,32,80.00,14,0,14,35.00,14,35.00
Monrovia Unified,19,64790,"65,698,156","5,271.2","12,464",Unified                  ,476,215,174,0,174,80.93,121,0,121,56.28,118,54.88
Montebello Unified,19,64808,"304,831,677","24,987.0","12,200",Unified                  ,2482,1899,823,0,823,43.34,413,0,413,21.75,372,19.59
Monterey Peninsula Unified,27,66092,"113,122,246","9,063.3","12,481",Unified                  ,785,388,256,0,256,65.98,172,0,172,44.33,161,41.49
Moorpark Unified,56,73940,"60,094,659","6,017.0","9,988",Unified                  ,564,215,200,0,200,93.02,155,0,155,72.09,151,70.23
Moreno Valley Unified,33,67124,"382,459,183","31,027.7","12,326",Unified                  ,2594,2172,812,0,812,37.38,348,0,348,16.02,304,14.00
Morgan Hill Unified,43,69583,"83,858,234","7,995.4","10,488",Unified                  ,692,388,329,0,329,84.79,264,0,264,68.04,255,65.72
Morongo Unified,36,67777,"94,350,599","7,982.2","11,820",Unified                  ,585,177,140,0,140,79.10,103,0,103,58.19,97,54.80
Mountain Empire Unified,37,68213,"22,334,790","1,554.1","14,371",Unified                  ,385,59,41,0,41,69.49,21,0,21,35.59,20,33.90
Mountain View-Los Altos Union High,43,69609,"83,701,897","4,093.6","20,447",High                     ,1040,632,594,2,596,94.30,558,2,560,88.61,551,87.18
Mt. Diablo Unified,7,61754,"366,514,703","29,707.5","12,337",Unified                  ,2263,790,635,1,636,80.51,488,1,489,61.90,471,59.62
Muroc Joint Unified,15,63685,"20,481,672","1,695.3","12,081",Unified                  ,111,51,40,0,40,78.43,27,0,27,52.94,26,50.98
Murrieta Valley Unified,33,75200,"228,213,079","21,995.5","10,375",Unified                  ,2074,1228,1004,1,1005,81.84,648,1,649,52.85,628,51.14
Napa Valley Unified,28,66266,"176,807,038","15,927.7","11,101",Unified                  ,1486,667,514,0,514,77.06,350,0,350,52.47,338,50.67
Natomas Unified,34,75283,"104,831,329","9,376.2","11,181",Unified                  ,1117,614,462,0,462,75.24,271,0,271,44.14,259,42.18
Needles Unified,36,67801,"11,900,514",902.8,"13,182",Unified                  ,64,22,15,0,15,68.18,7,0,7,31.82,7,31.82
Nevada Joint Union High,29,66357,"34,481,769","2,381.3","14,480",High                     ,706,251,233,0,233,92.83,181,0,181,72.11,179,71.31
New Haven Unified,1,61242,"128,926,540","11,057.2","11,660",Unified                  ,1159,483,409,1,410,84.89,319,1,320,66.25,310,64.18
New Jerusalem Elementary,39,68627,"3,225,630",22.0,"146,553",Elementary               ,578,70,53,1,54,77.14,29,1,30,42.86,30,42.86
Newark Unified,1,61234,"62,368,434","5,691.3","10,959",Unified                  ,462,203,167,0,167,82.27,107,0,107,52.71,102,50.25
Newman-Crows Landing Unified,50,73601,"33,439,764","3,020.9","11,069",Unified                  ,206,96,59,1,60,62.50,24,0,24,25.00,21,21.88
Newport-Mesa Unified,30,66597,"281,762,766","20,208.0","13,943",Unified                  ,1691,609,505,0,505,82.92,381,1,382,62.73,372,61.08
North Monterey County Unified,27,73825,"52,843,250","4,361.4","12,116",Unified                  ,352,118,72,0,72,61.02,34,0,34,28.81,31,26.27
Northern Humboldt Union High,12,62687,"18,874,310","1,382.8","13,649",High                     ,414,188,171,1,172,91.49,132,0,132,70.21,128,68.09
