DISTRICT,CO,CDS,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark,District Administrative Support:,District Administrators:,Elementary Guidance Counselors:,Elementary:,Instruc. Coordinators &amp; Supervisors:,Instructional Aides:,Kindergarten:,Librarians/Media Specialists:,Library/Media Support:,Other Support Services:,Prekindergarten:,School Administrative Support:,School Administrators:,Secondary Guidance Counselors:,Secondary:,Student Support Services:,Ungraded:
Bellflower Unified,19,64303,"134,921,182","11,557.60","11,674",Unified                  ,930,344,257,0,257,74.71,163,0,163,47.38,153,44.48,17.5,6,2.67,293.89,51.2,103.47,44.17,0,0,152.85,0,52.82,29.5,15,182.2,17.5,2
Benicia Unified,48,70524,"45,151,119","4,578.20","9,862",Unified                  ,426,217,196,0,196,90.32,172,0,172,79.26,168,77.42,14.5,1.5,2,105.17,4.5,38.81,12.33,0,0,68.05,0,24.2,11.6,5.5,68.2,12.5,0
Berkeley Unified,1,61143,"144,637,240","9,345.80","15,476",Unified                  ,878,450,378,1,379,84.22,298,1,299,66.44,294,65.33,57.8,8,7.6,290.77,100.93,145.2,38.7,0,0,219.4,0,35.64,34,10.4,168.71,27.9,11.6
Beverly Hills Unified,19,64311,"65,551,729","3,773.70","17,371",Unified                  ,399,218,207,1,208,95.41,185,1,186,85.32,184,84.4,16.5,2,2,129.83,28.9,43.78,12.5,0,0,86.92,0,35,13.94,7.8,82.5,14.9,2.17
Bishop Unified,14,76687,"20,968,529","1,823.90","11,497",Unified                  ,154,53,42,0,42,79.25,29,0,29,54.72,27,50.94,8,1,0.6,49.11,2.15,43.01,6.75,0,0,49.36,0,10.55,7,1,31.76,4,0
Black Oak Mine Unified,9,73783,"10,609,128",992.7,"10,687",Unified                  ,100,30,28,0,28,93.33,22,0,22,73.33,21,70,4.63,0,0,29.87,2.75,11.3,5.37,0,0,44.46,0,7.12,4.59,0,19.93,0,1.25
Bonita Unified,19,64329,"102,533,880","9,733.30","10,534",Unified                  ,842,446,366,0,366,82.06,260,0,260,58.3,247,55.38,31.07,4,6.75,226.84,30.63,93.19,36.67,0,0,153.01,0,48.37,21,8.5,141.27,29,1
Bonsall Unified,37,76851,"23,927,811","2,264.10","10,568",Unified                  ,92,38,32,0,32,84.21,20,0,20,52.63,19,50,10,1.5,1,95.7,7.18,36,15.75,0,0,42,0,38.5,10,0,27.07,21.7,0
Borrego Springs Unified,37,67983,"6,119,134",379.7,"16,116",Unified                  ,268,26,17,0,17,65.38,7,0,7,26.92,7,26.92,2,1.4,0,11.93,5.35,13,2,0,0,20,0,30.1,6.45,4,83.1,1.4,3.48
Brawley Union High,13,63081,"22,271,328","1,757.00","12,676",High                     ,450,155,104,0,104,67.1,60,0,60,38.71,57,36.77,9,1,0,0,4,1,0,0,0,2,0,12,3,5,77.4,1,0
Brea-Olinda Unified,30,66449,"56,497,884","5,714.80","9,886",Unified                  ,480,204,189,1,190,93.14,159,1,160,78.43,156,76.47,11.2,2,0.6,133.03,7.5,81.07,21.13,0,0,37.8,0,30.8,14.3,5.9,71.93,26.8,0.82
Bret Harte Union High,5,61556,"10,510,411",621.9,"16,902",High                     ,163,63,57,0,57,90.48,47,0,47,74.6,45,71.43,3,0.25,0,0,0,13.47,0,0,0,34.08,0,4,1.49,1,37.71,1.66,0.43
Burbank Unified,19,64337,"156,850,436","14,574.20","10,762",Unified                  ,1361,669,587,0,587,87.74,485,0,485,72.5,466,69.66,51.71,9.55,9,344.48,72.8,153.47,48.58,0,0,220.87,0,78.69,33.95,11,234.72,40.7,7.67
Burton Elementary,54,71837,"47,919,869","4,757.40","10,073",Elementary               ,87,32,19,0,19,59.38,8,0,8,25,8,25,17.32,2,1,157.14,10.5,67.67,24.02,0,0,65.08,0,15.83,17.62,0,21.75,14,0
Cabrillo Unified,41,68890,"36,926,961","3,089.90","11,951",Unified                  ,274,115,89,1,90,78.26,77,1,78,67.83,74,64.35,14,1,2,75.26,13.07,26.34,12.25,0,0,56.87,0,19.52,10.1,2.9,43.84,11,0.15
Calaveras Unified,5,61564,"30,556,709","2,667.70","11,454",Unified                  ,230,86,71,0,71,82.56,60,0,60,69.77,57,66.28,14.75,1.8,0,71.41,6.52,55.08,10.75,0,0,68.13,0,17.76,12.68,1,45.94,1,0
Calexico Unified,13,63099,"103,545,070","8,763.20","11,816",Unified                  ,740,220,151,0,151,68.64,97,0,97,44.09,84,38.18,34,4.5,9,222.2,35,59.91,29,0,0,264.76,0,46.89,18,7,137.8,18.1,0
Calipatria Unified,13,63107,"14,695,227","1,118.90","13,134",Unified                  ,95,31,24,0,24,77.42,16,0,16,51.61,15,48.39,7.5,1,1,39.47,1,9.37,5.33,0,0,30.82,0,8,3,2,22,1,0
