District Administrative Support:,District Administrators:,Elementary Guidance Counselors:,Elementary:,Instruc. Coordinators &amp; Supervisors:,Instructional Aides:,Kindergarten:,Librarians/Media Specialists:,Library/Media Support:,Name,Other Support Services:,Prekindergarten:,School Administrative Support:,School Administrators:,Secondary Guidance Counselors:,Secondary:,Student Support Services:,Ungraded:
10.38,2,4.4,109.34,11.67,33.37,17.47,1,0,Martinez Unified,56.18,0,18.34,11,4.6,60.38,10.8,0.74
5.75,1,0,73.67,7.29,46.74,10,0,0,Moraga Elementary,22.26,0,8.44,5,0,0,2.5,0
106.4,10,34.7,856.42,48.3,414.25,128.47,0,0,Mt. Diablo Unified,395.76,0,144.1,86.44,20.1,401.79,132.03,24.7
9.45,2,4.8,187.45,6.5,84.78,31.45,0,0,Oakley Union Elementary,85.04,0,20.77,13.9,0,0,20.8,0.56
4,0,2,103.72,6,47.16,15,0,0,Orinda Union Elementary,29.39,0,8.96,8,0,0,5.9,0
53,4,6,296.79,32.95,87.84,41.42,0,0,Pittsburg Unified,164.22,0,59.12,32.59,8.4,171.13,10.8,7.31
96.4,27,14,756.62,129.24,444.43,125.2,0,0,West Contra Costa Unified,616.77,0,148.86,106.02,26.4,378.23,96.85,23.33
64.5,5,13.8,783.69,33.96,381.47,99.93,0,0,San Ramon Valley Unified,377.59,0,131.51,85.3,25.48,450.51,83.2,5.32
10.5,2,1.6,137.66,15.1,50.39,22.43,0,0,Walnut Creek Elementary,36.23,0,10.95,8.83,0,0,6.5,0.25
23.29,1.7,5,100.36,15.38,77.11,14.83,0,0,Del Norte County Unified,106.94,0,22.93,13,2,45.4,10.6,0
8.46,1,5,217.71,11.54,65.56,30.46,0,0,Buckeye Union Elementary,93.1,0,30.02,17.28,0,10.76,17.6,0
3.4,0.3,0,24.81,0,5.66,3.14,0,0,Camino Union Elementary,7.09,0,2.32,1.7,0,0,0,0
23,2,0,0.05,8.29,39.18,0,0.8,0,El Dorado Union High,115.45,0,43.31,19.35,16.5,279.41,9.2,1.53
3,0,0,19,0,1,3,0,0,Gold Oak Union Elementary,10.5,0,2.25,2,0,0,0,0
2,0.5,0,26.2,0,13.26,5,0,0,Gold Trail Union Elementary,17.82,0,2.95,1.5,0,0,0.2,0
0,0.2,0,0.71,0,1.7,0.09,0,0,Indian Diggings Elementary,0.25,0,0.25,0,0,0,0,0
13.34,2,2,107.54,10.55,52.09,17.88,0,0,Lake Tahoe Unified,73.05,0,17.67,9.9,2.95,59.5,15,9.01
0,0,0,0,0,0,0,0,0,Latrobe Elementary,0,0,0,0,0,0,0,0
6,1.75,1,42.3,4,13.26,6.2,0,0,Mother Lode Union Elementary,22.98,0,6,2,0,0,1,0
5.69,2,0.6,48.8,0.5,13.09,8,0,0,Placerville Union Elementary,29.73,0,6.66,3,0,0,1,0
5,0.85,0,26,0,3.37,4,0,0,Pollock Pines Elementary,16.99,0,3.75,2,0,0,0.5,0
12.26,2,4,137.83,2,45.26,19.2,0,0,Rescue Union Elementary,55.95,0,14,9,0,0,5.8,0
0,0.15,0,1.67,0,0.5,0.33,0,0,Silver Fork Elementary,0.75,0,0,0,0,0,0,0
4.63,0,0,29.87,2.75,11.3,5.37,0,0,Black Oak Mine Unified,44.46,0,7.12,4.59,0,19.93,0,1.25
0,0,0,8,1,6.21,1,0,0,Alvina Elementary,2.98,0,4.69,1,0,0,0,0
0,1,0,2.75,1,4,1.25,0,0,Big Creek Elementary,4.5,0,2,1,0,0,0,0
0,0,0,7,0,2.75,1,0,0,Burrel Union Elementary,2.75,0,2,0,0,0,0,0
0,0,0,8,0.5,3.27,1,0,0,Clay Joint Elementary,2.76,0,2,1,0,0,0,0
111.07,32.62,13.23,972.77,213.96,523.3,146.31,0,0,Clovis Unified,920.29,0,206.13,180.55,25.62,584.24,166.07,1.02
7,2,6,109.89,27.2,40.02,17.87,0,0,Coalinga-Huron Unified,121.25,0,15.59,12.56,5.66,57.58,7.8,3.38
8.63,1,0.83,69.1,13.36,37.67,10.33,0,0,Fowler Unified,47.33,0,11.81,5.77,2,36.15,2.6,2.21
290.35,38.4,26,0,512.68,763.39,349.67,0,0,Fresno Unified,0,0,588.15,241.02,58,830.28,359.76,20.75
7.72,0,2,75.62,3,22.59,12.46,0,0,Kingsburg Elementary Charter,46.12,0,15.08,10.99,0,0,4.08,0.2
3,1.5,0,0,1.56,6.92,0,0,0,Kingsburg Joint Union High,15.52,0,7,2.4,1.9,57.44,2.53,0
32.28,3,1,238.63,58,103.97,35.5,0,0,Kings Canyon Joint Unified,199.86,0,59.94,41.07,6.9,116.58,26.5,0
3.45,1,0.5,21,4.05,12.48,4,0,0,Laton Joint Unified,15.85,0,4.91,3.8,0.5,13.25,0,0
0,0,0,8,1,4.98,2,0,0,Monroe Elementary,4.67,0,3.14,1,0,0,0,0
0,0,0,0,0,0,0,0,0,Orange Center Elementary,0,0,0,0,0,0,0,0
0,1,1.13,23.5,0,10.28,5,0,0,Pacific Union Elementary,14.97,0,3.5,1,0,0,5.38,0
18,1,1,85.47,20.2,43.53,12.33,0,0,Parlier Unified,49.75,0,21.25,15,2.6,39.86,10,5.14
0,0,0,3.5,0,10,0.5,0,0,Pine Ridge Elementary,7.51,0,2,0,0,0,0,0
0,0.5,0,9.62,2.2,16.94,2.08,0,0,Raisin City Elementary,6.63,0,11,4.95,0,8.71,2,0.15
37.3,12,1,323,56.53,91.53,53.59,0.6,0,Sanger Unified,253.82,0,52.37,41.8,0,146.9,33.15,1
42.2,4,0,174.71,37.75,71.92,21.64,1,0,Selma Unified,144.32,0,36.5,33.2,0,82.21,34.6,6.1
0,1,0,19,0,4.48,3,0,0,Washington Colony Elementary,6.26,0,3.75,2,0,0,2,1
5,1,0,18.37,1,7.65,2.65,0,0,West Park Elementary,9.57,0,2.85,3,0,11.98,2.65,1
0,0,0,26.1,51.16,33.5,4.35,0,0,Westside Elementary,12,0,32.25,10.59,0,44.82,27.74,5.3
14,2,0,59.29,23.16,16.9,9.33,0,0,Firebaugh-Las Deltas Unified,59.59,0,15.82,5.05,2,35.84,5.35,0.5
1,0,3.7,57.2,4,87.9,9,5.7,4.5,Central Unified,33,2.5,13.92,10.5,5,71.6,9.8,6.05
12,2,0,130.42,3,50.77,18.58,0,0,Kerman Unified,107.35,0,20,16.8,1,62.32,25.2,0
11,2,1,81.01,2.14,30.42,14,0,0,Mendota Unified,67.81,0,11,9.5,1,36.58,11.83,1.14
3,1,0.8,51.65,5,27.55,6.75,0,0,Golden Plains Unified,55.97,0,11,6,1.2,24.2,0,0
2,0.7,0,18.77,0,13.84,2.29,0,0,Sierra Unified,16.38,0,6,1.98,0,11.49,0,1
13,1.33,2.4,43.5,3.67,12.87,5.25,0,0,Riverdale Joint Unified,28.6,0,8.7,4.33,1.87,30.26,0.8,0
6,1,1,38.27,1.33,19.5,7,0,0,Caruthers Unified,27.5,0,11,4.9,1.8,32.4,0,0
22.25,6,0,233.92,37.35,58.13,33.58,0,0,Washington Unified,191.43,0,31,22,5.7,104.87,16.6,1.8
0,0,0,8,1.84,3.26,1,0,0,Capay Joint Union Elementary,4.01,0,1.81,1,0,0,0,0
3.37,0.9,0,35.59,4.68,13.49,4.63,0,0,Lake Elementary,14.88,0,4.9,3.3,0,0,1.59,0
0,0,0,8,0.33,4.35,2,0,0,Plaza Elementary,2.75,0,1.81,1,0,0,0,0
2,1,0,5.52,0,0.65,0.5,0,0,Princeton Joint Unified,4.79,0,1,0,1,5.73,0,0
1,1,0,5.17,0,1,0.5,0,0,Stony Creek Joint Unified,6.5,0,0,0,0,3.33,0,0
3.8,1,2,33.73,1,5.05,5,0,0,Willows Unified,28.08,0,7.5,5,2,21.11,2,0
7,1,0,63,3,23.6,10,0,0,Orland Joint Unified,47.79,0,8.41,6,1,36.85,4,0
3,0.67,0.75,17.25,2.38,0,3,0,0,Hamilton Unified,17.33,0,4,2.34,1,18.29,1,0
3.44,0,0.7,55.93,2.7,24.44,8.31,0,0,Arcata Elementary,36.05,0,10.5,6,0,2.3,3.5,0.5
10,1,0,0.09,2.9,29.55,0,0,0,Northern Humboldt Union High,33.25,0,11.5,6.2,5.6,83.91,5.4,0
0,0,0,1,0,0.66,0,0,0,Big Lagoon Union Elementary,1.85,0,0.5,1,0,0,0.25,0
0,0,0,8.42,1,6.3,1.08,0,0,Blue Lake Union Elementary,2.44,0,2,1,0,0,0,0.5
0,0,0,1.87,0,0,0.33,0,0,Bridgeville Elementary,0.2,0,6.6,0.4,0,0,0,0
0,0,0.4,6,1.03,6.41,1,0,0,Cuddeback Union Elementary,3.38,0,0,1,0,0,0,0
1,0,0,20.7,1.9,15.52,6.4,0,0,Cutten Elementary,8.7,0,2,2,0,0,3,0
0,1,0.6,7,0,3.27,1,0,0,Fieldbrook Elementary,2.62,0,1.62,0,0,0,0.4,0
4,1,0,0,1.95,6,0,0,0,Fortuna Union High,22.5,0,8,2.7,2,50.3,3.8,0
1.62,0,0,14,0,11.4,2,0,0,Freshwater Elementary,5,0,1.62,1.5,0,0,0,0
0,0,0,2.5,0,2.12,0.5,0,0,Garfield Elementary,0.73,0,1,1,0,0,0,0
0,0.5,0,1.28,0.2,0,0.23,0,0,Green Point Elementary,0.5,0,0,0.1,0,0,0,0
0,0.3,0.6,8.5,0,4.79,1,0,0,Hydesville Elementary,3.42,0,1,0.7,0,0,0,0
0,0.22,0,17,0,7.22,3,0,0,Jacoby Creek Elementary,9.81,0,2,1,0,0,2,0.63
7,1,1,37.58,1,14.46,3.92,0,0,Klamath-Trinity Joint Unified,52.2,0,9.48,9.11,1,20.75,6.54,0.14
0,0.4,0,1.07,0.26,0,0,0,0,Kneeland Elementary,1,0,0.3,0,0,0,0,0
0,0,0,6,1,2.81,1,0,0,Loleta Union Elementary,6.47,0,2,1,0,0,0,0
0,0,0,1.29,0,0,0.16,0,0,Maple Creek Elementary,0.99,0,0,0.55,0,0,0,0
3.83,1,1,44.73,0,24.34,6.83,0,0,Mckinleyville Union Elementary,27.02,0,5,4.49,0,0,5.15,0.54
0,0,0,1.59,0.2,0.3,0.2,0,0,Orick Elementary,1.06,0,1,0.2,0,0,0,0
0,0,0,0,0,0,0,0,0,Peninsula Union Elementary,0,0,0,0,0,0,0,0
1,2,0,14,0,15.24,2,0,0,Rio Dell Elementary,5.34,0,1.75,0,0,0,4.6,0
0,0,0,8,1,9.62,1,0,0,Scotia Union Elementary,5.56,0,2,1,0,0,1.7,0
1,0,0.9,23.78,4,21.49,4.72,0,0,South Bay Union Elementary,10.38,0,5.08,4,0,17.5,2.58,0
5.63,0,0,25.73,1,8.06,3.67,0,0,Southern Humboldt Joint Unified,26.95,0,5.75,1.98,0,11.12,1.75,0
0,0,0,8,0,5.71,2,0,0,Trinidad Union Elementary,5.8,0,1.5,1,0,0,0,0
2,0,0.4,13,0,12,2,0,0,Ferndale Unified,5.5,0,3,1.14,0.8,11.76,4,0
