Name,URL
Byron+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Byron+Union+Elementary&ID2=0606750&details=
Canyon+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Canyon+Elementary&ID2=3005460&details=
John+Swett+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=John+Swett+Unified&ID2=0618990&details=
Knightsen+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Knightsen+Elementary&ID2=0620040&details=
Lafayette+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Lafayette+Elementary&ID2=0620310&details=
Liberty+Union+High,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Liberty+Union+High&ID2=0621600&details=
Martinez+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Martinez+Unified&ID2=0624030&details=
Moraga+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Moraga+Elementary&ID2=0625740&details=
Mt.+Diablo+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Mt.+Diablo+Unified&ID2=0626370&details=
Oakley+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Oakley+Union+Elementary&ID2=0628080&details=
Orinda+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Orinda+Union+Elementary&ID2=0628860&details=
Pittsburg+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Pittsburg+Unified&ID2=0630600&details=
West+Contra+Costa+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=West+Contra+Costa+Unified&ID2=0632550&details=
San+Ramon+Valley+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=San+Ramon+Valley+Unified&ID2=0635130&details=
Walnut+Creek+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Walnut+Creek+Elementary&ID2=0641250&details=
Del+Norte+County+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Del+Norte+County+Unified&ID2=0610770&details=
Buckeye+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Buckeye+Union+Elementary&ID2=0606270&details=
Camino+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Camino+Union+Elementary&ID2=0607170&details=
El+Dorado+Union+High,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=El+Dorado+Union+High&ID2=0612070&details=
Gold+Oak+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Gold+Oak+Union+Elementary&ID2=0615390&details=
Gold+Trail+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Gold+Trail+Union+Elementary&ID2=0615450&details=
Indian+Diggings+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Indian+Diggings+Elementary&ID2=0618240&details=
Lake+Tahoe+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Lake+Tahoe+Unified&ID2=0620640&details=
Latrobe+Elementary,https://nces.ed.gov/ccd/districtsearch/&details=
Mother+Lode+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Mother+Lode+Union+Elementary&ID2=0625980&details=
Pioneer+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Pioneer+Union+Elementary&ID2=0630520&details=
Placerville+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Placerville+Union+Elementary&ID2=0630780&details=
Pollock+Pines+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Pollock+Pines+Elementary&ID2=0631290&details=
Rescue+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Rescue+Union+Elementary&ID2=0632310&details=
Silver+Fork+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Silver+Fork+Elementary&ID2=0636810&details=
Black+Oak+Mine+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Black+Oak+Mine+Unified&ID2=0605240&details=
Alvina+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Alvina+Elementary&ID2=0602370&details=
Big+Creek+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Big+Creek+Elementary&ID2=0604860&details=
Burrel+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Burrel+Union+Elementary&ID2=0606540&details=
Clay+Joint+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Clay+Joint+Elementary&ID2=0608850&details=
Clovis+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Clovis+Unified&ID2=0609030&details=
Coalinga-Huron+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Coalinga-Huron+Unified&ID2=0609120&details=
Fowler+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Fowler+Unified&ID2=0614250&details=
Fresno+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Fresno+Unified&ID2=0614550&details=
Kingsburg+Elementary+Charter,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Kingsburg+Elementary+Charter&ID2=0619800&details=
Kingsburg+Joint+Union+High,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Kingsburg+Joint+Union+High&ID2=0619830&details=
Kings+Canyon+Joint+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Kings+Canyon+Joint+Unified&ID2=0619700&details=
Laton+Joint+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Laton+Joint+Unified&ID2=0621150&details=
Monroe+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Monroe+Elementary&ID2=0625290&details=
Orange+Center+Elementary,https://nces.ed.gov/ccd/districtsearch/&details=
Pacific+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Pacific+Union+Elementary&ID2=0629430&details=
