,DISTRICT,CO,CDS,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark,Category,Teachers,Staff Support,Administrators,Counselors,Librarians,Student Support,Improvement Percentage,Predicted PctBothBenchmark
107,San Juan Unified,34,67447,"431,015,576","37,512.70",11490,Unified                  ,4342,1360,1146,5,1151,84.63,899,4,903,66.4,872,64.12,0,46.2,39.84,2.2,0.0,0.0,0.0,1.2021676549956186,64.8908299003832
108,San Leandro Unified,1,61291,"96,694,614","8,436.10",11462,Unified                  ,785,360,245,0,245,68.06,154,0,154,42.78,142,39.44,0,372.2,288.64,24.0,10.0,1.0,22.8,3.9910786513679986,41.01408142009954
109,San Lorenzo Valley Unified,44,69807,"24,760,063","2,191.40",11299,Unified                  ,282,108,97,2,99,91.67,80,2,82,75.93,80,74.07,0,204.39,117.49,13.15,3.0,0.0,5.6,1.730645243506876,75.35188893186553
110,San Marcos Unified,37,73791,"211,089,616","20,109.00",10497,Unified                  ,1493,845,723,0,723,85.56,525,0,525,62.13,514,60.83,0,589.58,1031.57,58.3,26.0,0.0,109.8,6.274077810529971,64.64652153214539
111,San Ramon Valley Unified,7,61804,"328,841,411","31,428.30",10463,Unified                  ,2601,1630,1550,23,1573,96.5,1435,23,1458,89.45,1438,88.22,0,1334.13,989.03,90.3,39.28,0.0,83.2,11.799883902627615,98.62985757889807
112,Sanger Unified,10,62414,"115,196,125","10,132.90",11369,Unified                  ,808,371,234,0,234,63.07,125,0,125,33.69,118,31.81,0,523.49,491.55,53.8,1.0,0.6,33.15,3.36564035292658,32.88061019626594
113,Scotts Valley Unified,44,75432,"24,612,553","2,333.40",10548,Unified                  ,171,90,83,0,83,92.22,68,0,68,75.56,67,74.44,0,36.34,50.62,4.96,1.0,0.0,0.0,1.2852723374921418,75.39675672802915
114,Sierra Sands Unified,15,73742,"50,111,517","4,823.10",10390,Unified                  ,355,110,99,0,99,90.0,75,0,75,68.18,74,67.27,0,223.06,253.4,18.28,14.8,0.0,4.84,1.565594572843624,68.3231754691519
115,Simi Valley Unified,56,72603,"166,206,169","15,970.40",10407,Unified                  ,1518,502,466,0,466,92.83,377,0,377,75.1,370,73.71,0,683.62,703.57,49.0,19.85,0.0,90.4,3.889067721850923,76.5766318177763
116,Snowline Joint Unified,36,73957,"78,965,925","7,047.20",11205,Unified                  ,553,204,169,0,169,82.84,135,0,135,66.18,128,62.75,0,322.1,261.76,23.0,7.23,0.0,11.0,1.7662062537130632,63.85829442420495
117,South Pasadena Unified,19,65029,"48,612,678","4,643.80",10468,Unified                  ,391,230,214,2,216,93.91,187,2,189,82.17,186,80.87,0,198.61,134.89,15.0,9.1,0.0,12.1,2.2222645853272263,82.66714537015413
118,Tehachapi Unified,15,63826,"41,692,206","4,137.20",10078,Unified                  ,344,90,77,1,78,86.67,55,1,56,62.22,52,57.78,0,182.94,181.08,10.99,4.0,0.0,11.39,1.2544006608577483,58.50479270184361
119,Temecula Valley Unified,33,75192,"266,975,514","26,992.70",9891,Unified                  ,2534,1542,1325,1,1326,85.99,976,0,976,63.29,946,61.35,0,1190.27,976.52,66.12,29.23,1.0,142.0,15.136391278029574,70.63617604907114
120,Temple City Unified,19,65052,"56,519,709","5,697.60",9920,Unified                  ,548,352,326,0,326,92.61,314,2,316,89.77,306,86.93,0,245.2,320.09,13.0,12.5,0.0,18.8,1.5381344813155815,88.26710030460765
121,Templeton Unified,40,68841,"23,877,711","2,265.70",10539,Unified                  ,218,99,95,0,95,95.96,72,0,72,72.73,72,72.73,0,105.19,97.8,7.0,5.39,0.0,10.99,1.2461460508810158,73.63632202280577
122,Torrance Unified,19,65060,"232,233,604","22,535.30",10305,Unified                  ,2003,1004,893,2,895,89.14,754,1,755,75.2,734,73.11,0,932.69,1097.7,68.12,37.54,0.0,65.6,3.008103691427214,75.30922460880244
123,Travis Unified,48,70565,"54,296,711","5,258.40",10326,Unified                  ,435,223,194,0,194,87.0,131,0,131,58.74,128,57.4,0,232.82,211.42,15.9,6.0,0.0,17.8,1.30163617184352,58.147139162638176
124,Turlock Unified,50,75739,"142,328,712","13,406.60",10616,Unified                  ,1194,510,384,0,384,75.29,258,0,258,50.59,243,47.65,0,608.09,596.59,44.49,15.98,0.0,30.7,1.3713485155153222,48.30344756764305
125,Tustin Unified,30,73643,"241,071,049","23,185.60",10397,Unified                  ,1875,1093,912,5,917,83.9,763,5,768,70.27,745,68.16,0,874.8,888.49,55.0,27.1,0.0,107.95,5.867315601131572,72.15916231373127
126,Upland Unified,36,75069,"114,965,358","10,355.40",11102,Unified                  ,864,404,321,0,321,79.46,218,0,218,53.96,207,51.24,0,459.75,383.58,23.0,15.0,1.0,19.8,29.36809733935467,66.28821307668534
127,Vacaville Unified,48,70573,"115,039,998","10,849.50",10603,Unified                  ,970,446,360,1,361,80.94,286,1,287,64.35,277,62.11,0,568.41,478.54,42.45,13.4,0.0,33.8,0.4279057992395278,62.375772291907666
128,Val Verde Unified,33,75242,"216,557,916","19,355.20",11189,Unified                  ,1590,1417,539,0,539,38.04,240,0,240,16.94,227,16.02,0,796.84,791.19,48.0,27.0,0.0,42.2,3.6270905790639207,16.60105991076604
129,Ventura Unified,56,72652,"174,441,131","15,905.90",10967,Unified                  ,1397,578,506,0,506,87.54,367,0,367,63.49,357,61.76,0,689.45,688.55,48.0,40.22,0.0,55.28,2.7099690152435643,63.43367686381442
130,Visalia Unified,54,72256,"291,946,925","27,508.20",10613,Unified                  ,2129,582,459,0,459,78.87,313,0,313,53.78,298,51.2,0,1127.59,1340.64,75.4,14.6,0.0,87.42,42.02978032266917,72.71924752520663
131,Walnut Valley Unified,19,73460,"139,190,651","13,968.40",9965,Unified                  ,1491,1107,1001,15,1016,91.78,944,15,959,86.63,930,84.01,0,568.45,486.85,32.75,34.0,0.0,46.3,1.1401957821950903,84.96787847662209
132,Western Placer Unified,31,66951,"69,186,158","6,672.10",10370,Unified                  ,745,189,154,1,155,82.01,99,1,100,52.91,98,51.85,0,441.89,331.15,49.2,7.0,0.0,41.2,1.071612755415894,52.405631213683144
133,Willows Unified,11,62661,"13,007,961","1,372.50",9478,Unified                  ,113,32,25,0,25,78.13,15,0,15,46.88,15,46.88,0,59.84,45.43,6.0,4.0,0.0,2.0,1.2993779278741713,47.489148372587415
134,Windsor Unified,49,75358,"42,600,097","3,741.40",11386,Unified                  ,449,141,117,0,117,82.98,67,0,67,47.52,64,45.39,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1799216080088948,45.925566417875245
135,Wiseburn Unified,19,76869,"26,316,486","2,440.60",10783,Unified                  ,429,214,169,0,169,78.97,111,0,111,51.87,106,49.53,0,198.84,151.63,18.35,12.96,0.0,20.08,7.748858735266623,53.368009731577565
136,Yosemite Unified,20,76414,"17,989,023","1,590.20",11312,Unified                  ,223,90,74,0,74,82.22,50,0,50,55.56,49,54.44,0,92.05,95.97,12.94,1.8,0.0,4.31,1.4836288443018628,55.24768754283793
137,Yucaipa-Calimesa Joint Unified,36,67959,"87,542,068","8,006.80",10933,Unified                  ,773,336,276,0,276,82.14,211,0,211,62.8,203,60.42,0,430.35,383.62,28.0,15.0,0.0,24.6,7.20250884130274,64.77175584191511
